date,ECO_Consumer_Price_Index
1991-01,64
1991-02,64.3
1991-03,64.3
1991-04,64.5
1991-05,64.7
1991-06,65.1
1991-07,65.8
1991-08,65.8
1991-09,65.8
1991-10,66.9
1991-11,67.1
1991-12,67.2
1992-01,67.6
1992-02,68
1992-03,68.3
1992-04,68.5
1992-05,68.7
1992-06,68.9
1992-07,69.1
1992-08,69.1
1992-09,69.1
1992-10,69.1
1992-11,69.4
1992-12,69.5
1993-01,70.7
1993-02,71.2
1993-03,71.4
1993-04,71.6
1993-05,71.7
1993-06,71.9
1993-07,72.3
1993-08,72.3
1993-09,72.2
1993-10,72.2
1993-11,72.3
1993-12,72.5
1994-01,72.8
1994-02,73.4
1994-03,73.5
1994-04,73.6
1994-05,73.8
1994-06,73.9
1994-07,74
1994-08,74.2
1994-09,74
1994-10,73.9
1994-11,74
1994-12,74.2
1995-01,74.5
1995-02,74.9
1995-03,74.9
1995-04,75
1995-05,75
1995-06,75.1
1995-07,75.3
1995-08,75.3
1995-09,75.3
1995-10,75.1
1995-11,75.1
1995-12,75.3
1996-01,75.5
1996-02,76
1996-03,76
1996-04,76
1996-05,76.1
1996-06,76.2
1996-07,76.3
1996-08,76.3
1996-09,76.3
1996-10,76.3
1996-11,76.2
1996-12,76.5
1997-01,77.1
1997-02,77.2
1997-03,77.2
1997-04,77.1
1997-05,77.3
1997-06,77.4
1997-07,78.1
1997-08,78.1
1997-09,78
1997-10,77.9
1997-11,77.9
1997-12,78.1
1998-01,78.1
1998-02,78.2
1998-03,78.1
1998-04,78.2
1998-05,78.3
1998-06,78.4
1998-07,78.7
1998-08,78.5
1998-09,78.3
1998-10,78.2
1998-11,78.2
1998-12,78.3
1999-01,78.2
1999-02,78.3
1999-03,78.3
1999-04,78.7
1999-05,78.7
1999-06,78.8
1999-07,79.2
1999-08,79.1
1999-09,78.9
1999-10,78.8
1999-11,79
1999-12,79.3
2000-01,79.5
2000-02,79.5
2000-03,79.5
2000-04,79.5
2000-05,79.5
2000-06,79.8
2000-07,80.2
2000-08,80
2000-09,80.2
2000-10,80.1
2000-11,80.2
2000-12,80.8
2001-01,80.6
2001-02,81
2001-03,81
2001-04,81.4
2001-05,81.7
2001-06,81.8
2001-07,81.9
2001-08,81.7
2001-09,81.7
2001-10,81.6
2001-11,81.4
2001-12,82.2
2002-01,82.2
2002-02,82.5
2002-03,82.7
2002-04,82.6
2002-05,82.7
2002-06,82.7
2002-07,82.8
2002-08,82.7
2002-09,82.7
2002-10,82.6
2002-11,82.3
2002-12,83.1
2003-01,83.1
2003-02,83.6
2003-03,83.6
2003-04,83.4
2003-05,83.2
2003-06,83.5
2003-07,83.6
2003-08,83.6
2003-09,83.6
2003-10,83.6
2003-11,83.4
2003-12,84
2004-01,84
2004-02,84.2
2004-03,84.5
2004-04,84.8
2004-05,85
2004-06,85
2004-07,85.1
2004-08,85.2
2004-09,85
2004-10,85.1
2004-11,85
2004-12,85.9
2005-01,85.3
2005-02,85.6
2005-03,86
2005-04,85.8
2005-05,85.9
2005-06,86.1
2005-07,86.4
2005-08,86.5
2005-09,86.6
2005-10,86.7
2005-11,86.4
2005-12,87.1
2006-01,86.8
2006-02,87.2
2006-03,87.2
2006-04,87.5
2006-05,87.5
2006-06,87.7
2006-07,88
2006-08,87.9
2006-09,87.6
2006-10,87.6
2006-11,87.6
2006-12,88.3
2007-01,88.3
2007-02,88.7
2007-03,88.9
2007-04,89.3
2007-05,89.3
2007-06,89.4
2007-07,89.8
2007-08,89.7
2007-09,89.9
2007-10,90.1
2007-11,90.6
2007-12,91.1
2008-01,90.8
2008-02,91.2
2008-03,91.7
2008-04,91.5
2008-05,92
2008-06,92.3
2008-07,92.8
2008-08,92.5
2008-09,92.4
2008-10,92.2
2008-11,91.8
2008-12,92.1
2009-01,91.7
2009-02,92.2
2009-03,92
2009-04,92.1
2009-05,92
2009-06,92.3
2009-07,92.3
2009-08,92.5
2009-09,92.2
2009-10,92.3
2009-11,92.1
2009-12,92.9
2010-01,92.3
2010-02,92.7
2010-03,93.2
2010-04,93.2
2010-05,93.2
2010-06,93.2
2010-07,93.3
2010-08,93.4
2010-09,93.3
2010-10,93.4
2010-11,93.6
2010-12,94.1
2011-01,93.9
2011-02,94.5
2011-03,95
2011-04,95.1
2011-05,95
2011-06,95.1
2011-07,95.3
2011-08,95.4
2011-09,95.6
2011-10,95.6
2011-11,95.7
2011-12,96
2012-01,95.8
2012-02,96.5
2012-03,97.1
2012-04,96.9
2012-05,96.8
2012-06,96.7
2012-07,97.1
2012-08,97.4
2012-09,97.5
2012-10,97.5
2012-11,97.6
2012-12,97.9
2013-01,97.4
2013-02,98
2013-03,98.4
2013-04,98
2013-05,98.4
2013-06,98.5
2013-07,98.9
2013-08,98.9
2013-09,98.9
2013-10,98.7
2013-11,98.9
2013-12,99.3
2014-01,98.8
2014-02,99.2
2014-03,99.5
2014-04,99.4
2014-05,99.2
2014-06,99.5
2014-07,99.7
2014-08,99.8
2014-09,99.8
2014-10,99.5
2014-11,99.5
2014-12,99.5
2015-01,98.5
2015-02,99.2
2015-03,99.7
2015-04,100.2
2015-05,100.4
2015-06,100.4
2015-07,100.6
2015-08,100.6
2015-09,100.4
2015-10,100.4
2015-11,99.7
2015-12,99.7
2016-01,99
2016-02,99.3
2016-03,100
2016-04,100.1
2016-05,100.6
2016-06,100.7
2016-07,101.1
2016-08,101
2016-09,101
2016-10,101.2
2016-11,100.5
2016-12,101.2
2017-01,100.6
2017-02,101.2
2017-03,101.4
2017-04,101.8
2017-05,101.8
2017-06,102.1
2017-07,102.5
2017-08,102.6
2017-09,102.7
2017-10,102.5
2017-11,102.1
2017-12,102.6
2018-01,102
2018-02,102.3
2018-03,102.9
2018-04,103.1
2018-05,103.9
2018-06,104
2018-07,104.4
2018-08,104.5
2018-09,104.7
2018-10,104.9
2018-11,104.2
2018-12,104.2
2019-01,103.4
2019-02,103.8
2019-03,104.2
2019-04,105.2
2019-05,105.4
2019-06,105.7
2019-07,106.2
2019-08,106
2019-09,106
2019-10,106.1
2019-11,105.3
2019-12,105.8
2020-01,105.2
2020-02,105.6
2020-03,105.7
2020-04,106.1
2020-05,106
