;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Insgesamt;2005;Januar;5086847;12,3;13,6;190840;148399;12496
Insgesamt;2005;Februar;5288245;12,7;14,1;208619;167993;14872
Insgesamt;2005;März;5266085;12,7;14,1;226527;173776;15798
Insgesamt;2005;April;5052429;12,2;13,5;241425;158872;13941
Insgesamt;2005;Mai;4884238;11,8;13,1;257815;141953;12166
Insgesamt;2005;Juni;4780624;11,5;12,8;266694;136701;11295
Insgesamt;2005;Juli;4836693;11,7;13;283267;108564;9783
Insgesamt;2005;August;4797562;11,6;12,9;287425;89446;8477
Insgesamt;2005;September;4646505;11,2;12,5;292291;96188;8531
Insgesamt;2005;Oktober;4555075;11;12,2;287157;102419;8369
Insgesamt;2005;November;4531416;10,9;12,2;271912;98021;8371
Insgesamt;2005;Dezember;4605189;11,1;12,4;255127;83732;7878
Insgesamt;2006;Januar;5010490;12,1;13,5;259875;96113;9223
Insgesamt;2006;Februar;5047480;12,2;13,6;284718;100742;10089
Insgesamt;2006;März;4977588;12;13,4;305127;104829;10101
Insgesamt;2006;April;4790661;11,5;12,9;326840;83259;8320
Insgesamt;2006;Mai;4538328;10,9;12,2;353479;72048;6672
Insgesamt;2006;Juni;4398773;10,5;11,8;369046;61528;5838
Insgesamt;2006;Juli;4386260;10,5;11,8;392028;53932;5024
Insgesamt;2006;August;4371951;10,5;11,7;398949;47935;4484
Insgesamt;2006;September;4237806;10,1;11,4;401790;45979;4297
Insgesamt;2006;Oktober;4084463;9,8;10,9;397949;38833;3713
Insgesamt;2006;November;3995743;9,6;10,7;387971;35519;3630
Insgesamt;2006;Dezember;4008111;9,6;10,7;374269;63049;7534
Insgesamt;2007;Januar;4262175;10,2;11,4;374115;126257;15333
Insgesamt;2007;Februar;4225972;10,1;11,3;409468;148436;18453
Insgesamt;2007;März;4104788;9,8;11;429500;143945;18470
Insgesamt;2007;April;3958211;9,5;10,6;439897;51024;5610
Insgesamt;2007;Mai;3795938;9,1;10,1;445396;48308;5198
Insgesamt;2007;Juni;3672926;8,8;9,8;453724;46257;4950
Insgesamt;2007;Juli;3701000;8,8;9,9;455324;39345;4530
Insgesamt;2007;August;3691890;8,8;9,9;450146;32342;3998
Insgesamt;2007;September;3530642;8,4;9,4;436399;33658;3900
Insgesamt;2007;Oktober;3421392;8,2;9,1;420564;35787;3965
Insgesamt;2007;November;3366876;8;9;397567;36660;4240
Insgesamt;2007;Dezember;3395221;8,1;9,1;369079;77782;11362
Insgesamt;2008;Januar;3647905;8,7;9,7;351610;137759;19056
Insgesamt;2008;Februar;3606079;8,6;9,6;376465;161090;22020
Insgesamt;2008;März;3496864;8,3;9,3;392657;155523;21270
Insgesamt;2008;April;3403667;8,1;9,1;395069;59066;6387
Insgesamt;2008;Mai;3274026;7,8;8,8;398188;50973;5383
Insgesamt;2008;Juni;3151679;7,5;8,4;417953;50411;5110
Insgesamt;2008;Juli;3201841;7,6;8,6;422535;42694;4629
Insgesamt;2008;August;3187764;7,6;8,5;417052;39416;4044
Insgesamt;2008;September;3073268;7,3;8,2;409264;49965;4212
Insgesamt;2008;Oktober;2989231;7,1;8;392934;70983;4604
Insgesamt;2008;November;2980969;7,1;8;367219;130133;6592
Insgesamt;2008;Dezember;3094150;7,4;8,3;327594;270472;17315
Insgesamt;2009;Januar;3480171;8,3;9,3;301715;593597;31368
Insgesamt;2009;Februar;3542602;8,5;9,5;317677;1079068;44526
Insgesamt;2009;März;3576362;8,5;9,6;317273;1324877;56215
Insgesamt;2009;April;3575257;8,5;9,6;305622;1446417;50627
Insgesamt;2009;Mai;3449223;8,2;9,2;298793;1468809;56932
Insgesamt;2009;Juni;3402047;8,1;9,1;297143;1393655;61149
Insgesamt;2009;Juli;3454498;8,2;9,2;297881;1247843;62212
Insgesamt;2009;August;3463439;8,2;9,2;300159;1054846;59234
Insgesamt;2009;September;3338882;7,9;8,9;301942;1104061;60842
Insgesamt;2009;Oktober;3221207;7,7;8,6;297630;1109091;60704
Insgesamt;2009;November;3208044;7,6;8,6;290595;981782;60748
Insgesamt;2009;Dezember;3268167;7,8;8,7;281258;928843;66681
Insgesamt;2010;Januar;3610046;8,6;9,6;271401;1056942;78267
Insgesamt;2010;Februar;3635346;8,6;9,7;297979;1030831;83598
Insgesamt;2010;März;3560493;8,5;9,5;320129;874346;77418
Insgesamt;2010;April;3400163;8,1;9,1;335163;632008;54027
Insgesamt;2010;Mai;3236363;7,7;8,6;355702;498934;48596
Insgesamt;2010;Juni;3148611;7,5;8,4;370430;419515;44354
Insgesamt;2010;Juli;3186929;7,6;8,5;391101;313087;38444
Insgesamt;2010;August;3183217;7,6;8,5;396705;243736;33968
Insgesamt;2010;September;3026830;7,2;8;397972;237342;32271
Insgesamt;2010;Oktober;2941020;7;7,8;400937;231299;30306
Insgesamt;2010;November;2926971;6,9;7,8;394514;215044;29204
Insgesamt;2010;Dezember;3011586;7,1;8;380139;279249;39003
Insgesamt;2011;Januar;3345974;7,9;8,9;375022;321589;42123
Insgesamt;2011;Februar;3313207;7,9;8,8;417512;305430;41682
Insgesamt;2011;März;3211229;7,6;8,5;442332;245803;35261
Insgesamt;2011;April;3078569;7,3;8,2;461129;133166;18810
Insgesamt;2011;Mai;2960620;7;7,8;470092;121548;16016
Insgesamt;2011;Juni;2893990;6,9;7,7;479527;109754;13476
Insgesamt;2011;Juli;2939945;7;7,8;492290;80830;10974
Insgesamt;2011;August;2945545;7;7,8;497139;71281;9252
Insgesamt;2011;September;2796310;6,6;7,4;501572;75963;8752
Insgesamt;2011;Oktober;2737666;6,5;7,3;499845;80590;8169
Insgesamt;2011;November;2713813;6,4;7,2;491950;85124;8273
Insgesamt;2011;Dezember;2780984;6,6;7,4;467052;263556;30379
Insgesamt;2012;Januar;3084711;7,3;8,2;451919;396562;42473
Insgesamt;2012;Februar;3110442;7,4;8,2;473176;490926;51797
Insgesamt;2012;März;3028414;7,2;8;490904;220720;27560
Insgesamt;2012;April;2963570;7;7,9;499001;82537;6271
Insgesamt;2012;Mai;2855270;6,7;7,5;499217;77077;5418
Insgesamt;2012;Juni;2809107;6,6;7,4;499167;70529;5020
Insgesamt;2012;Juli;2875971;6,8;7,5;499847;53995;4408
Insgesamt;2012;August;2905113;6,8;7,6;493380;47141;3846
Insgesamt;2012;September;2788249;6,5;7,3;484507;65796;4070
Insgesamt;2012;Oktober;2753361;6,5;7,2;468074;84662;4484
Insgesamt;2012;November;2751485;6,5;7,2;450605;97845;5167
Insgesamt;2012;Dezember;2839824;6,7;7,5;420537;358556;33974
Insgesamt;2013;Januar;3138232;7,4;8,2;420012;486880;49160
Insgesamt;2013;Februar;3156246;7,4;8,3;448442;495354;51665
Insgesamt;2013;März;3097817;7,3;8,1;462660;430116;49906
Insgesamt;2013;April;3020275;7,1;7,9;460197;113342;8042
Insgesamt;2013;Mai;2936915;6,8;7,6;457010;86447;6611
Insgesamt;2013;Juni;2864666;6,6;7,4;458732;98672;8105
Insgesamt;2013;Juli;2914096;6,8;7,6;468686;81001;6368
Insgesamt;2013;August;2945710;6,8;7,6;470938;60167;5284
Insgesamt;2013;September;2848950;6,6;7,4;472550;69565;5220
Insgesamt;2013;Oktober;2801191;6,5;7,3;466033;82594;5203
Insgesamt;2013;November;2806146;6,5;7,3;457996;80161;5412
Insgesamt;2013;Dezember;2873806;6,7;7,5;440443;205840;21620
Insgesamt;2014;Januar;3135802;7,3;8,1;425198;353525;36215
Insgesamt;2014;Februar;3137867;7,3;8,1;456229;354593;35350
Insgesamt;2014;März;3054722;7,1;7,9;475714;202319;24975
Insgesamt;2014;April;2943335;6,8;7,6;485334;77190;5673
Insgesamt;2014;Mai;2882029;6,6;7,4;481436;72090;5308
Insgesamt;2014;Juni;2832780;6,5;7,3;494628;66211;4730
Insgesamt;2014;Juli;2871351;6,6;7,4;501968;53731;4343
Insgesamt;2014;August;2901823;6,7;7,5;515092;44366;3666
Insgesamt;2014;September;2807806;6,5;7,2;518317;50648;3915
Insgesamt;2014;Oktober;2732769;6,3;7;517432;61119;4159
Insgesamt;2014;November;2716852;6,3;7;514599;63391;4490
Insgesamt;2014;Dezember;2763521;6,4;7,1;497768;204062;25511
Insgesamt;2015;Januar;3031604;7;7,8;485172;326560;40436
Insgesamt;2015;Februar;3017003;6,9;7,8;518890;351530;43925
Insgesamt;2015;März;2931505;6,8;7,6;542049;251213;33424
Insgesamt;2015;April;2842844;6,5;7,3;551595;66744;4866
Insgesamt;2015;Mai;2761696;6,3;7;556784;57367;4359
Insgesamt;2015;Juni;2711187;6,2;6,9;572200;58710;4281
Insgesamt;2015;Juli;2772642;6,3;7;588677;48825;3819
Insgesamt;2015;August;2795597;6,4;7,1;596542;39833;3240
Insgesamt;2015;September;2708043;6,2;6,9;599573;51484;3492
Insgesamt;2015;Oktober;2649277;6;6,7;612236;60536;3714
Insgesamt;2015;November;2633157;6;6,7;610285;65634;4141
Insgesamt;2015;Dezember;2681415;6,1;6,8;590913;177060;22242
Insgesamt;2016;Januar;2920421;6,7;7,4;580844;342648;43720
Insgesamt;2016;Februar;2911165;6,6;7,4;613885;342967;43056
Insgesamt;2016;März;2844891;6,5;7,2;634516;251670;34011
Insgesamt;2016;April;2743864;6,3;7;640131;66726;4404
Insgesamt;2016;Mai;2664014;6;6,7;654788;56664;3908
Insgesamt;2016;Juni;2614217;5,9;6,6;664872;53933;3861
Insgesamt;2016;Juli;2661042;6;6,7;673889;42549;3270
Insgesamt;2016;August;2684289;6,1;6,7;685238;49723;3023
Insgesamt;2016;September;2607607;5,9;6,6;686797;46407;3128
Insgesamt;2016;Oktober;2539939;5,8;6,4;691372;50354;3125
Insgesamt;2016;November;2531975;5,7;6,4;681113;51865;3437
Insgesamt;2016;Dezember;2568273;5,8;6,5;658435;178230;25432
Insgesamt;2017;Januar;2777387;6,3;7;646991;370405;47274
Insgesamt;2017;Februar;2762095;6,3;6,9;674661;335227;42107
Insgesamt;2017;März;2662111;6;6,7;691924;216101;30117
Insgesamt;2017;April;2568612;5,8;6,5;705949;39227;2867
Insgesamt;2017;Mai;2497718;5,6;6,2;714398;36262;2733
Insgesamt;2017;Juni;2472642;5,5;6,1;730802;33304;2533
Insgesamt;2017;Juli;2517645;5,6;6,3;750346;29550;2318
Insgesamt;2017;August;2544845;5,7;6,3;765280;28057;2078
Insgesamt;2017;September;2448910;5,5;6,1;773105;27662;2115
Insgesamt;2017;Oktober;2388711;5,4;5,9;779712;26843;2072
Insgesamt;2017;November;2368411;5,3;5,9;772205;26391;2214
Insgesamt;2017;Dezember;2384961;5,3;5,9;761237;193600;29171
Insgesamt;2018;Januar;2570311;5,8;6,4;736231;287452;38920
Insgesamt;2018;Februar;2545936;5,7;6,3;764247;359311;47205
Insgesamt;2018;März;2458110;5,5;6,1;778158;327177;42685
Insgesamt;2018;April;2383752;5,3;5,9;784206;23236;1913
Insgesamt;2018;Mai;2315487;5,1;5,7;792637;20880;1721
Insgesamt;2018;Juni;2275787;5;5,6;805213;25225;1782
Insgesamt;2018;Juli;2324746;5,1;5,7;822582;22355;1684
Insgesamt;2018;August;2350876;5,2;5,8;827758;41019;1664
Insgesamt;2018;September;2256473;5;5,5;833835;42340;1705
Insgesamt;2018;Oktober;2203851;4,9;5,4;823900;45654;1772
Insgesamt;2018;November;2186109;4,8;5,4;807032;51270;1972
Insgesamt;2018;Dezember;2209546;4,9;5,4;781326;165992;23590
Insgesamt;2019;Januar;2405586;5,3;5,9;757714;354379;45002
Insgesamt;2019;Februar;2372700;5,3;5,8;783963;309540;39994
Insgesamt;2019;März;2301121;5,1;5,6;797455;245796;33510
Insgesamt;2019;April;2228876;4,9;5,5;795551;48739;2388
Insgesamt;2019;Mai;2235969;4,9;5,4;791694;53313;2488
Insgesamt;2019;Juni;2216243;4,9;5,4;797622;50988;2453
Insgesamt;2019;Juli;2275461;5;5,5;799076;55498;2559
Insgesamt;2019;August;2319408;5,1;5,6;794919;59678;2608
Insgesamt;2019;September;2234030;4,9;5,4;787273;83529;3254
Insgesamt;2019;Oktober;2204090;4,8;5,3;764004;110513;3989
Insgesamt;2019;November;2179999;4,8;5,3;736322;123988;4770
Insgesamt;2019;Dezember;2227159;4,9;5,4;686551;...;...
Insgesamt;2020;Januar;2425523;5,3;5,9;668063;...;...
Insgesamt;2020;Februar;2395604;5,3;5,8;689594;...;...
Insgesamt;2020;März;2335367;5,1;5,7;691137;...;...
Insgesamt;2020;April;2643744;5,8;6,4;626417;...;...
Insgesamt;2020;Mai;2812986;6,1;6,7;583624;...;...
Insgesamt;2020;Juni;...;...;...;...;...;...
Insgesamt;2020;Juli;...;...;...;...;...;...
Insgesamt;2020;August;...;...;...;...;...;...
Insgesamt;2020;September;...;...;...;...;...;...
Insgesamt;2020;Oktober;...;...;...;...;...;...
Insgesamt;2020;November;...;...;...;...;...;...
Insgesamt;2020;Dezember;...;...;...;...;...;...
Früheres Bundesgebiet;2005;Januar;3309739;10,1;11,2;163182;118233;9557
Früheres Bundesgebiet;2005;Februar;3486369;10,6;11,8;178321;132975;11244
Früheres Bundesgebiet;2005;März;3477397;10,6;11,8;192575;137372;11974
Früheres Bundesgebiet;2005;April;3339260;10,2;11,3;204597;127626;10626
Früheres Bundesgebiet;2005;Mai;3241724;9,9;11;216040;113051;9212
Früheres Bundesgebiet;2005;Juni;3188333;9,7;10,8;227709;110133;8684
Früheres Bundesgebiet;2005;Juli;3239987;9,9;11;243363;87172;7493
Früheres Bundesgebiet;2005;August;3237872;9,8;11;247485;69362;6409
Früheres Bundesgebiet;2005;September;3140502;9,5;10,7;250256;77252;6608
Früheres Bundesgebiet;2005;Oktober;3098607;9,4;10,5;246393;85597;6604
Früheres Bundesgebiet;2005;November;3081363;9,4;10,5;233180;81311;6676
Früheres Bundesgebiet;2005;Dezember;3119909;9,5;10,6;220782;69629;6301
Früheres Bundesgebiet;2006;Januar;3362309;10,2;11,4;197678;79009;7237
Früheres Bundesgebiet;2006;Februar;3370396;10,2;11,5;214439;81499;7843
Früheres Bundesgebiet;2006;März;3318130;10,1;11,3;227903;83083;7725
Früheres Bundesgebiet;2006;April;3201579;9,7;10,9;243538;66620;6332
Früheres Bundesgebiet;2006;Mai;3048590;9,2;10,3;267383;58418;5140
Früheres Bundesgebiet;2006;Juni;2966420;8,9;10;286943;50111;4527
Früheres Bundesgebiet;2006;Juli;2960465;8,9;10;299658;42939;3877
Früheres Bundesgebiet;2006;August;2941351;8,8;9,9;302481;38484;3474
Früheres Bundesgebiet;2006;September;2835352;8,5;9,6;302307;37542;3436
Früheres Bundesgebiet;2006;Oktober;2738345;8,2;9,2;297843;32278;3012
Früheres Bundesgebiet;2006;November;2672549;8;9;288783;29596;2955
Früheres Bundesgebiet;2006;Dezember;2670414;8;9;279790;49503;5715
Früheres Bundesgebiet;2007;Januar;2815685;8,5;9,5;277962;92920;10963
Früheres Bundesgebiet;2007;Februar;2784410;8,4;9,4;307359;107643;13126
Früheres Bundesgebiet;2007;März;2696028;8,1;9,1;323992;104197;13161
Früheres Bundesgebiet;2007;April;2599610;7,8;8,8;337218;41016;4364
Früheres Bundesgebiet;2007;Mai;2492801;7,5;8,4;345155;38569;4077
Früheres Bundesgebiet;2007;Juni;2418169;7,3;8,1;353440;36454;3845
Früheres Bundesgebiet;2007;Juli;2440914;7,3;8,2;358733;31270;3514
Früheres Bundesgebiet;2007;August;2435052;7,3;8,2;354264;25439;3097
Früheres Bundesgebiet;2007;September;2326351;7;7,8;343746;27454;3116
Früheres Bundesgebiet;2007;Oktober;2256910;6,8;7,6;331322;29756;3218
Früheres Bundesgebiet;2007;November;2217030;6,6;7,5;312845;30154;3463
Früheres Bundesgebiet;2007;Dezember;2223380;6,7;7,5;293644;57957;8381
Früheres Bundesgebiet;2008;Januar;2375607;7,1;8;280211;100895;13775
Früheres Bundesgebiet;2008;Februar;2340140;7;7,9;300419;118958;15970
Früheres Bundesgebiet;2008;März;2264821;6,8;7,6;314022;113564;15347
Früheres Bundesgebiet;2008;April;2209536;6,6;7,4;317224;46727;4946
Früheres Bundesgebiet;2008;Mai;2133943;6,4;7,2;323418;40544;4181
Früheres Bundesgebiet;2008;Juni;2068067;6,2;7;340918;40439;3975
Früheres Bundesgebiet;2008;Juli;2114711;6,3;7,1;347284;34780;3605
Früheres Bundesgebiet;2008;August;2103582;6,3;7,1;343255;32506;3117
Früheres Bundesgebiet;2008;September;2036589;6,1;6,9;335943;42043;3360
Früheres Bundesgebiet;2008;Oktober;1984671;6;6,7;321944;58921;3711
Früheres Bundesgebiet;2008;November;1980123;5,9;6,7;299218;109947;5425
Früheres Bundesgebiet;2008;Dezember;2053550;6,2;6,9;264853;222690;13080
Früheres Bundesgebiet;2009;Januar;2300641;6,9;7,7;243239;483482;22715
Früheres Bundesgebiet;2009;Februar;2341448;7;7,9;253609;917041;32767
Früheres Bundesgebiet;2009;März;2372359;7,1;8;251032;1138844;42490
Früheres Bundesgebiet;2009;April;2392796;7,2;8;240428;1274232;40155
Früheres Bundesgebiet;2009;Mai;2327619;6,9;7,8;235129;1294626;45681
Früheres Bundesgebiet;2009;Juni;2312797;6,9;7,7;234950;1222835;48949
Früheres Bundesgebiet;2009;Juli;2362529;7;7,9;237085;1093531;50025
Früheres Bundesgebiet;2009;August;2383497;7,1;8;239788;906129;47233
Früheres Bundesgebiet;2009;September;2300928;6,8;7,7;240777;962210;48891
Früheres Bundesgebiet;2009;Oktober;2223279;6,6;7,4;237804;969167;48819
Früheres Bundesgebiet;2009;November;2210145;6,6;7,4;231971;856325;48610
Früheres Bundesgebiet;2009;Dezember;2242539;6,7;7,5;224734;792787;52045
Früheres Bundesgebiet;2010;Januar;2463708;7,3;8,2;217631;879674;58759
Früheres Bundesgebiet;2010;Februar;2475681;7,4;8,3;238553;847628;62176
Früheres Bundesgebiet;2010;März;2422090;7,2;8,1;254627;714343;57255
Früheres Bundesgebiet;2010;April;2324487;6,9;7,8;267025;531197;41010
Früheres Bundesgebiet;2010;Mai;2219959;6,6;7,4;285739;415957;36970
Früheres Bundesgebiet;2010;Juni;2172077;6,4;7,2;299345;348411;33823
Früheres Bundesgebiet;2010;Juli;2205026;6,5;7,3;318483;257327;29288
Früheres Bundesgebiet;2010;August;2214901;6,6;7,4;324875;194766;25332
Früheres Bundesgebiet;2010;September;2100297;6,2;7;325426;192121;24198
Früheres Bundesgebiet;2010;Oktober;2040144;6,1;6,8;328413;189419;22868
Früheres Bundesgebiet;2010;November;2026386;6;6,7;322366;172370;21829
Früheres Bundesgebiet;2010;Dezember;2064921;6,1;6,9;312206;209087;28110
Früheres Bundesgebiet;2011;Januar;2271197;6,7;7,6;306503;234172;29456
Früheres Bundesgebiet;2011;Februar;2238260;6,6;7,4;338933;221935;29105
Früheres Bundesgebiet;2011;März;2168053;6,4;7,2;359060;177104;24221
Früheres Bundesgebiet;2011;April;2085848;6,2;6,9;376654;101766;13271
Früheres Bundesgebiet;2011;Mai;2011946;6;6,7;386261;94284;11448
Früheres Bundesgebiet;2011;Juni;1972154;5,8;6,5;394278;86013;9703
Früheres Bundesgebiet;2011;Juli;2010589;6;6,7;404877;62241;7937
Früheres Bundesgebiet;2011;August;2025166;6;6,7;408141;56245;6615
Früheres Bundesgebiet;2011;September;1918956;5,7;6,4;412232;59294;6356
Früheres Bundesgebiet;2011;Oktober;1876991;5,6;6,2;410983;63751;6027
Früheres Bundesgebiet;2011;November;1851648;5,5;6,1;403312;65660;6104
Früheres Bundesgebiet;2011;Dezember;1887733;5,6;6,2;383586;213588;24490
Früheres Bundesgebiet;2012;Januar;2085371;6,2;6,9;370314;304965;32333
Früheres Bundesgebiet;2012;Februar;2104486;6,2;7;386380;380958;39474
Früheres Bundesgebiet;2012;März;2051525;6,1;6,8;400073;153152;19027
Früheres Bundesgebiet;2012;April;2024046;6;6,7;405386;62376;4587
Früheres Bundesgebiet;2012;Mai;1964143;5,7;6,4;406627;61002;4053
Früheres Bundesgebiet;2012;Juni;1946160;5,7;6,4;407499;56710;3805
Früheres Bundesgebiet;2012;Juli;2005823;5,9;6,6;408351;41400;3345
Früheres Bundesgebiet;2012;August;2035922;6;6,7;403407;35651;2916
Früheres Bundesgebiet;2012;September;1952769;5,7;6,4;395798;52087;3172
Früheres Bundesgebiet;2012;Oktober;1929309;5,6;6,3;382711;67477;3565
Früheres Bundesgebiet;2012;November;1925595;5,6;6,3;365443;78309;4142
Früheres Bundesgebiet;2012;Dezember;1973863;5,8;6,5;341052;269926;26526
Früheres Bundesgebiet;2013;Januar;2171625;6,4;7,1;340418;362257;38063
Früheres Bundesgebiet;2013;Februar;2188493;6,4;7,2;362843;381592;39849
Früheres Bundesgebiet;2013;März;2150573;6,3;7;373579;316181;37603
