;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Früheres Bundesgebiet;2013;April;2107788;6,2;6,9;371271;88193;5964
Früheres Bundesgebiet;2013;Mai;2067669;6;6,7;369554;66556;5141
Früheres Bundesgebiet;2013;Juni;2028687;5,8;6,5;371102;70721;5124
Früheres Bundesgebiet;2013;Juli;2076392;6;6,7;379010;63240;4581
Früheres Bundesgebiet;2013;August;2106940;6,1;6,8;380383;44340;3825
Früheres Bundesgebiet;2013;September;2037342;5,9;6,6;381601;53789;4018
Früheres Bundesgebiet;2013;Oktober;1998296;5,8;6,4;374888;65416;4127
Früheres Bundesgebiet;2013;November;1996023;5,8;6,4;368836;66143;4371
Früheres Bundesgebiet;2013;Dezember;2034278;5,9;6,6;354724;161782;16748
Früheres Bundesgebiet;2014;Januar;2207374;6,4;7,1;341687;269055;26603
Früheres Bundesgebiet;2014;Februar;2210161;6,4;7,1;365683;250238;26116
Früheres Bundesgebiet;2014;März;2159544;6,2;7;379118;152436;18177
Früheres Bundesgebiet;2014;April;2093679;6;6,8;387885;62785;4487
Früheres Bundesgebiet;2014;Mai;2061023;5,9;6,6;385120;59279;4290
Früheres Bundesgebiet;2014;Juni;2034034;5,8;6,5;395696;55263;3838
Früheres Bundesgebiet;2014;Juli;2075576;5,9;6,6;402792;44771;3538
Früheres Bundesgebiet;2014;August;2104801;6;6,7;414437;36016;2934
Früheres Bundesgebiet;2014;September;2037178;5,8;6,5;417783;42195;3197
Früheres Bundesgebiet;2014;Oktober;1974399;5,6;6,3;418144;52115;3452
Früheres Bundesgebiet;2014;November;1956799;5,6;6,3;414447;53964;3736
Früheres Bundesgebiet;2014;Dezember;1980073;5,7;6,3;400509;163215;20176
Früheres Bundesgebiet;2015;Januar;2160458;6,2;6,9;389074;256231;31381
Früheres Bundesgebiet;2015;Februar;2152973;6,2;6,9;415817;274453;34147
Früheres Bundesgebiet;2015;März;2097264;6;6,7;434250;191623;25112
Früheres Bundesgebiet;2015;April;2043887;5,8;6,5;443471;55344;3818
Früheres Bundesgebiet;2015;Mai;1995124;5,6;6,3;448122;48190;3468
Früheres Bundesgebiet;2015;Juni;1968758;5,6;6,2;461060;48866;3424
Früheres Bundesgebiet;2015;Juli;2018515;5,7;6,3;475007;41424;3074
Früheres Bundesgebiet;2015;August;2042054;5,8;6,4;480997;33972;2620
Früheres Bundesgebiet;2015;September;1978579;5,6;6,2;482959;42815;2902
Früheres Bundesgebiet;2015;Oktober;1929878;5,5;6,1;490802;50359;3088
Früheres Bundesgebiet;2015;November;1915746;5,4;6;489717;55506;3450
Früheres Bundesgebiet;2015;Dezember;1942796;5,5;6,1;473803;141626;17608
Früheres Bundesgebiet;2016;Januar;2111455;6;6,6;464014;263685;33595
Früheres Bundesgebiet;2016;Februar;2107446;6;6,6;490118;268129;33467
Früheres Bundesgebiet;2016;März;2065274;5,8;6,5;506350;192703;26011
Früheres Bundesgebiet;2016;April;2004138;5,7;6,3;511159;54884;3533
Früheres Bundesgebiet;2016;Mai;1954865;5,5;6,1;525057;45920;3211
Früheres Bundesgebiet;2016;Juni;1927757;5,4;6;533630;44283;3225
Früheres Bundesgebiet;2016;Juli;1970547;5,5;6,1;543080;36460;2762
Früheres Bundesgebiet;2016;August;1997640;5,6;6,2;551444;40090;2497
Früheres Bundesgebiet;2016;September;1942075;5,4;6;553516;37268;2630
Früheres Bundesgebiet;2016;Oktober;1888409;5,3;5,9;558301;41008;2653
Früheres Bundesgebiet;2016;November;1877448;5,3;5,8;549756;42296;2911
Früheres Bundesgebiet;2016;Dezember;1897010;5,3;5,9;528884;139035;19775
Früheres Bundesgebiet;2017;Januar;2047733;5,7;6,3;519159;290882;36738
Früheres Bundesgebiet;2017;Februar;2039396;5,7;6,3;540830;253084;31597
Früheres Bundesgebiet;2017;März;1974085;5,5;6,1;554882;171258;23026
Früheres Bundesgebiet;2017;April;1916627;5,4;5,9;567397;31731;2389
Früheres Bundesgebiet;2017;Mai;1871094;5,2;5,7;575544;29490;2304
Früheres Bundesgebiet;2017;Juni;1857130;5,1;5,7;590130;27313;2142
Früheres Bundesgebiet;2017;Juli;1897033;5,2;5,8;607282;24073;1960
Früheres Bundesgebiet;2017;August;1922760;5,3;5,9;620302;21241;1727
Früheres Bundesgebiet;2017;September;1847288;5,1;5,6;626418;21257;1787
Früheres Bundesgebiet;2017;Oktober;1796805;5;5,5;631953;20475;1780
Früheres Bundesgebiet;2017;November;1778845;4,9;5,4;624844;19483;1903
Früheres Bundesgebiet;2017;Dezember;1782734;4,9;5,5;615660;159372;24041
Früheres Bundesgebiet;2018;Januar;1918351;5,3;5,9;593580;222473;30244
Früheres Bundesgebiet;2018;Februar;1899387;5,3;5,8;616033;277618;36770
Früheres Bundesgebiet;2018;März;1833819;5,1;5,6;627618;248568;32483
Früheres Bundesgebiet;2018;April;1785759;4,9;5,5;632478;19433;1598
Früheres Bundesgebiet;2018;Mai;1738358;4,7;5,2;639076;18249;1467
Früheres Bundesgebiet;2018;Juni;1713219;4,7;5,2;650403;22321;1522
Früheres Bundesgebiet;2018;Juli;1752774;4,8;5,3;667412;17934;1426
Früheres Bundesgebiet;2018;August;1778625;4,8;5,4;672252;30354;1370
Früheres Bundesgebiet;2018;September;1706822;4,7;5,1;678765;33810;1436
Früheres Bundesgebiet;2018;Oktober;1664585;4,5;5;672023;37099;1491
Früheres Bundesgebiet;2018;November;1650390;4,5;5;656468;41818;1643
Früheres Bundesgebiet;2018;Dezember;1661439;4,5;5;634114;128042;18498
Früheres Bundesgebiet;2019;Januar;1806456;4,9;5,4;613001;275547;35105
Früheres Bundesgebiet;2019;Februar;1781551;4,9;5,4;630344;235782;30687
Früheres Bundesgebiet;2019;März;1733134;4,7;5,2;638491;195468;26325
Früheres Bundesgebiet;2019;April;1687593;4,6;5,1;638816;39105;1976
Früheres Bundesgebiet;2019;Mai;1698282;4,6;5;636645;42641;2085
Früheres Bundesgebiet;2019;Juni;1687590;4,6;5;641631;41928;2062
Früheres Bundesgebiet;2019;Juli;1737215;4,7;5,2;642517;44862;2155
Früheres Bundesgebiet;2019;August;1778550;4,8;5,3;640295;46234;2148
Früheres Bundesgebiet;2019;September;1712542;4,6;5,1;634430;70061;2755
Früheres Bundesgebiet;2019;Oktober;1686110;4,6;5;612636;95356;3412
Früheres Bundesgebiet;2019;November;1667208;4,5;5;589435;107626;4117
Früheres Bundesgebiet;2019;Dezember;1700480;4,6;5,1;548114;...;...
Früheres Bundesgebiet;2020;Januar;1852643;5;5,5;531510;...;...
Früheres Bundesgebiet;2020;Februar;1831423;4,9;5,4;548165;...;...
Früheres Bundesgebiet;2020;März;1788928;4,8;5,3;545910;...;...
Früheres Bundesgebiet;2020;April;2028420;5,5;6;492373;...;...
Früheres Bundesgebiet;2020;Mai;2160345;5,8;6,4;456286;...;...
Früheres Bundesgebiet;2020;Juni;...;...;...;...;...;...
Früheres Bundesgebiet;2020;Juli;...;...;...;...;...;...
Früheres Bundesgebiet;2020;August;...;...;...;...;...;...
Früheres Bundesgebiet;2020;September;...;...;...;...;...;...
Früheres Bundesgebiet;2020;Oktober;...;...;...;...;...;...
Früheres Bundesgebiet;2020;November;...;...;...;...;...;...
Früheres Bundesgebiet;2020;Dezember;...;...;...;...;...;...
Neue Länder;2005;Januar;1777108;20,5;22,4;27658;30166;2939
Neue Länder;2005;Februar;1801876;20,8;22,8;30298;35018;3628
Neue Länder;2005;März;1788688;20,7;22,6;33952;36404;3824
Neue Länder;2005;April;1713169;19,8;21,6;36828;31246;3315
Neue Länder;2005;Mai;1642514;19;20,7;41775;28902;2954
Neue Länder;2005;Juni;1592291;18,5;20,4;38985;26568;2611
Neue Länder;2005;Juli;1596706;18,6;20,4;39904;21392;2290
Neue Länder;2005;August;1559690;18,1;20;39940;20084;2068
Neue Länder;2005;September;1506003;17,5;19,3;42035;18936;1923
Neue Länder;2005;Oktober;1456468;16,9;18,7;40764;16822;1765
Neue Länder;2005;November;1450053;16,9;18,6;38732;16710;1695
Neue Länder;2005;Dezember;1485280;17,3;19;34345;14103;1577
Neue Länder;2006;Januar;1648181;19,2;21,1;34983;17104;1986
Neue Länder;2006;Februar;1677084;19,5;21,5;40331;19243;2246
Neue Länder;2006;März;1659458;19,3;21,3;45696;21746;2376
Neue Länder;2006;April;1589082;18,5;20,3;50687;16639;1988
Neue Länder;2006;Mai;1489738;17,4;19,4;55286;13630;1532
Neue Länder;2006;Juni;1432353;16,8;18,7;60907;11417;1311
Neue Länder;2006;Juli;1425795;16,7;18,6;59272;10993;1147
Neue Länder;2006;August;1430600;16,7;18,6;60919;9451;1010
Neue Länder;2006;September;1402454;16,4;18,3;62310;8437;861
Neue Länder;2006;Oktober;1346118;15,8;17,5;62175;6555;701
Neue Länder;2006;November;1323194;15,5;17,2;61576;5923;675
Neue Länder;2006;Dezember;1337697;15,7;17,4;58413;13546;1819
Neue Länder;2007;Januar;1446490;16,9;18,8;58984;33337;4370
Neue Länder;2007;Februar;1441562;16,9;18,8;62879;40793;5327
Neue Länder;2007;März;1408760;16,5;18,4;65322;39748;5309
Neue Länder;2007;April;1358601;15,9;17,7;64949;10008;1246
Neue Länder;2007;Mai;1303137;15,2;16,9;64065;9739;1121
Neue Länder;2007;Juni;1254757;14,6;16,3;65286;9803;1105
Neue Länder;2007;Juli;1260086;14,7;16,3;63217;8072;1015
Neue Länder;2007;August;1256838;14,6;16,3;62486;6900;890
Neue Länder;2007;September;1204291;14;15,6;60476;6204;784
Neue Länder;2007;Oktober;1164482;13,6;15,1;58059;6031;747
Neue Länder;2007;November;1149846;13,4;14,9;56065;6506;777
Neue Länder;2007;Dezember;1171841;13,6;15,2;50475;19825;2981
Neue Länder;2008;Januar;1272298;14,8;16,5;47462;36864;5281
Neue Länder;2008;Februar;1265939;14,7;16,4;51392;42132;6050
Neue Länder;2008;März;1232043;14,3;16;54675;41959;5923
Neue Länder;2008;April;1194131;13,9;15,5;55201;12339;1441
Neue Länder;2008;Mai;1140083;13,4;14,9;54726;10429;1202
Neue Länder;2008;Juni;1083612;12,7;14,2;57775;9972;1135
Neue Länder;2008;Juli;1087130;12,8;14,2;57133;7914;1024
Neue Länder;2008;August;1084182;12,7;14,2;56801;6910;927
Neue Länder;2008;September;1036679;12,2;13,6;56570;7922;852
Neue Länder;2008;Oktober;1004560;11,8;13,2;54950;12062;893
Neue Länder;2008;November;1000846;11,7;13,1;52356;20186;1167
Neue Länder;2008;Dezember;1040600;12,2;13,6;48080;47782;4235
Neue Länder;2009;Januar;1179530;13,8;15,5;44884;110115;8653
Neue Länder;2009;Februar;1201154;14,1;15,7;49603;162027;11759
Neue Länder;2009;März;1204003;14,1;15,8;52273;186033;13725
Neue Länder;2009;April;1182461;13,9;15,5;51702;172185;10472
Neue Länder;2009;Mai;1121604;13,2;14,8;50814;174183;11251
Neue Länder;2009;Juni;1089250;12,9;14,4;50063;170820;12200
Neue Länder;2009;Juli;1091969;12,9;14,4;49450;154312;12187
Neue Länder;2009;August;1079942;12,7;14,2;49507;148717;12001
Neue Länder;2009;September;1037954;12,3;13,7;49570;141851;11951
Neue Länder;2009;Oktober;997928;11,8;13,2;48664;139924;11885
Neue Länder;2009;November;997899;11,8;13,2;48215;125457;12138
Neue Länder;2009;Dezember;1025628;12,1;13,5;46650;136056;14636
Neue Länder;2010;Januar;1146338;13,5;15,1;46031;177268;19508
Neue Länder;2010;Februar;1159665;13,7;15,3;51095;183203;21422
Neue Länder;2010;März;1138403;13,4;15;57259;160003;20163
Neue Länder;2010;April;1075676;12,7;14,2;59189;100811;13017
Neue Länder;2010;Mai;1016404;12;13,4;60765;82977;11626
Neue Länder;2010;Juni;976534;11,6;12,9;61651;71104;10531
Neue Länder;2010;Juli;981903;11,6;13;62918;55760;9156
Neue Länder;2010;August;968316;11,5;12,8;62036;48970;8636
Neue Länder;2010;September;926533;11;12,3;62530;45221;8073
Neue Länder;2010;Oktober;900876;10,7;11,9;62376;41880;7438
Neue Länder;2010;November;900585;10,7;11,9;62290;42674;7375
Neue Länder;2010;Dezember;946665;11,2;12,5;59008;70162;10893
Neue Länder;2011;Januar;1074777;12,7;14,2;59465;87417;12667
Neue Länder;2011;Februar;1074947;12,7;14,2;68478;83495;12577
Neue Länder;2011;März;1043176;12,4;13,8;72788;68699;11040
Neue Länder;2011;April;992721;11,8;13,1;74294;31400;5539
Neue Länder;2011;Mai;948674;11,3;12,6;73808;27264;4568
Neue Länder;2011;Juni;921836;10,9;12,2;75558;23741;3773
Neue Länder;2011;Juli;929356;11;12,3;77679;15589;3037
Neue Länder;2011;August;920379;10,9;12,2;79625;15036;2637
Neue Länder;2011;September;877354;10,4;11,6;80286;16669;2396
Neue Länder;2011;Oktober;860675;10,2;11,4;80321;16839;2142
Neue Länder;2011;November;862165;10,2;11,4;80704;19464;2169
Neue Länder;2011;Dezember;893251;10,6;11,8;76275;49968;5889
Neue Länder;2012;Januar;999340;11,9;13,3;76259;91597;10140
Neue Länder;2012;Februar;1005956;11,9;13,3;82214;109968;12323
Neue Länder;2012;März;976889;11,6;13;86203;67568;8533
Neue Länder;2012;April;939524;11,2;12,5;88897;20161;1684
Neue Länder;2012;Mai;891127;10,6;11,8;88108;16075;1365
Neue Länder;2012;Juni;862947;10,3;11,5;87153;13819;1215
Neue Länder;2012;Juli;870148;10,3;11,6;86963;12595;1063
Neue Länder;2012;August;869191;10,3;11,5;85524;11490;930
Neue Länder;2012;September;835480;9,9;11,1;84614;13709;898
Neue Länder;2012;Oktober;824052;9,8;10,9;81238;17185;919
Neue Länder;2012;November;825890;9,8;11;81142;19536;1025
Neue Länder;2012;Dezember;865961;10,3;11,5;75826;88630;7448
Neue Länder;2013;Januar;966607;11,5;12,8;76194;124623;11097
Neue Länder;2013;Februar;967753;11,5;12,9;82190;113762;11816
Neue Länder;2013;März;947244;11,3;12,6;85761;113935;12303
Neue Länder;2013;April;912487;10,8;12,1;85561;25149;2078
Neue Länder;2013;Mai;869246;10,3;11,5;84285;19891;1470
Neue Länder;2013;Juni;835979;9,9;11,1;84470;27951;2981
Neue Länder;2013;Juli;837704;9,9;11,1;86660;17761;1787
Neue Länder;2013;August;838770;9,9;11,1;87751;15827;1459
Neue Länder;2013;September;811608;9,6;10,8;88288;15776;1202
Neue Länder;2013;Oktober;802895;9,5;10,7;88481;17178;1076
Neue Länder;2013;November;810123;9,6;10,8;86658;14018;1041
Neue Länder;2013;Dezember;839528;9,9;11,1;83313;44058;4872
Neue Länder;2014;Januar;928428;11;12,3;81112;84470;9612
Neue Länder;2014;Februar;927706;11;12,3;88184;104355;9234
Neue Länder;2014;März;895178;10,6;11,9;94186;49883;6798
Neue Länder;2014;April;849656;10;11,3;95049;14405;1186
Neue Länder;2014;Mai;821006;9,7;10,9;93865;12811;1018
Neue Länder;2014;Juni;798746;9,5;10,6;96672;10948;892
Neue Länder;2014;Juli;795775;9,4;10,6;96909;8960;805
Neue Länder;2014;August;797022;9,4;10,6;98440;8350;732
Neue Länder;2014;September;770628;9,1;10,3;98312;8453;718
Neue Länder;2014;Oktober;758370;9;10,1;97101;9004;707
Neue Länder;2014;November;760053;9;10,1;98073;9427;754
Neue Länder;2014;Dezember;783448;9,3;10,4;95378;40847;5335
Neue Länder;2015;Januar;871146;10,3;11,6;94245;70329;9055
Neue Länder;2015;Februar;864030;10,2;11,5;101086;77077;9778
Neue Länder;2015;März;834241;9,9;11,1;105698;59590;8312
Neue Länder;2015;April;798957;9,5;10,6;106059;11400;1048
Neue Länder;2015;Mai;766572;9,1;10,2;106656;9177;891
Neue Länder;2015;Juni;742429;8,8;9,9;109084;9844;857
Neue Länder;2015;Juli;754127;9;10;111636;7401;745
Neue Länder;2015;August;753543;9;10;113477;5861;620
Neue Länder;2015;September;729464;8,7;9,7;114581;8669;590
Neue Länder;2015;Oktober;719399;8,6;9,6;119372;10177;626
Neue Länder;2015;November;717411;8,5;9,5;118536;10128;691
Neue Länder;2015;Dezember;738619;8,8;9,8;115202;35434;4634
Neue Länder;2016;Januar;808966;9,6;10,7;114949;78963;10125
Neue Länder;2016;Februar;803719;9,6;10,7;121909;74838;9589
Neue Länder;2016;März;779617;9,3;10,4;126239;58967;8000
Neue Länder;2016;April;739726;8,8;9,8;127028;11842;871
Neue Länder;2016;Mai;709149;8,4;9,4;127909;10744;697
Neue Länder;2016;Juni;686460;8,2;9,1;129306;9650;636
Neue Länder;2016;Juli;690495;8,2;9,2;128914;6089;508
Neue Länder;2016;August;686649;8,2;9,1;131966;9633;526
Neue Länder;2016;September;665532;7,9;8,8;131326;9139;498
Neue Länder;2016;Oktober;651530;7,7;8,6;131046;9346;472
Neue Länder;2016;November;654527;7,8;8,7;129294;9569;526
Neue Länder;2016;Dezember;671263;8;8,9;127465;39195;5657
Neue Länder;2017;Januar;729654;8,7;9,7;125795;79523;10536
Neue Länder;2017;Februar;722699;8,6;9,6;131770;82143;10510
Neue Länder;2017;März;688026;8,2;9,1;135065;44843;7091
Neue Länder;2017;April;651985;7,7;8,6;136467;7496;478
Neue Länder;2017;Mai;626624;7,4;8,3;136620;6772;429
Neue Länder;2017;Juni;615512;7,3;8,1;138400;5991;391
Neue Länder;2017;Juli;620612;7,4;8,2;140697;5477;358
Neue Länder;2017;August;622085;7,4;8,2;142586;6816;351
Neue Länder;2017;September;601622;7,1;7,9;144319;6405;328
Neue Länder;2017;Oktober;591906;7;7,8;145434;6368;292
Neue Länder;2017;November;589566;7;7,8;145117;6908;311
Neue Länder;2017;Dezember;602227;7,1;8;143469;34228;5130
Neue Länder;2018;Januar;651960;7,7;8,6;140721;64979;8676
Neue Länder;2018;Februar;646549;7,7;8,5;146334;81693;10435
Neue Länder;2018;März;624291;7,4;8,2;148664;78609;10202
Neue Länder;2018;April;597993;7,1;7,9;149894;3803;315
Neue Länder;2018;Mai;577129;6,8;7,6;151733;2631;254
Neue Länder;2018;Juni;562568;6,6;7,4;152858;2904;260
Neue Länder;2018;Juli;571972;6,8;7,5;153139;4421;258
Neue Länder;2018;August;572251;6,8;7,5;153473;10665;294
Neue Länder;2018;September;549651;6,5;7,2;153041;8530;269
Neue Länder;2018;Oktober;539266;6,4;7,1;149843;8555;281
Neue Länder;2018;November;535719;6,3;7;148491;9452;329
Neue Länder;2018;Dezember;548107;6,5;7,2;145127;37950;5092
Neue Länder;2019;Januar;599130;7,1;7,9;142731;78832;9897
Neue Länder;2019;Februar;591149;7;7,8;151595;73758;9307
Neue Länder;2019;März;567987;6,7;7,5;156826;50328;7185
Neue Länder;2019;April;541283;6,4;7,1;154639;9634;412
Neue Länder;2019;Mai;537687;6,3;7;152906;10672;403
Neue Länder;2019;Juni;528653;6,2;6,9;153830;9060;391
Neue Länder;2019;Juli;538246;6,3;7;154414;10636;404
Neue Länder;2019;August;540858;6,4;7,1;152347;13444;460
Neue Länder;2019;September;521488;6,1;6,8;150644;13468;499
Neue Länder;2019;Oktober;517980;6,1;6,8;149269;15157;577
Neue Länder;2019;November;512791;6;6,7;144890;16362;653
Neue Länder;2019;Dezember;526679;6,2;6,9;136631;...;...
Neue Länder;2020;Januar;572880;6,8;7,5;134870;...;...
Neue Länder;2020;Februar;564181;6,6;7,4;139743;...;...
Neue Länder;2020;März;546439;6,4;7,1;143681;...;...
Neue Länder;2020;April;615324;7,3;8;132552;...;...
Neue Länder;2020;Mai;652641;7,7;8,5;126007;...;...
Neue Länder;2020;Juni;...;...;...;...;...;...
Neue Länder;2020;Juli;...;...;...;...;...;...
Neue Länder;2020;August;...;...;...;...;...;...
Neue Länder;2020;September;...;...;...;...;...;...
Neue Länder;2020;Oktober;...;...;...;...;...;...
Neue Länder;2020;November;...;...;...;...;...;...
Neue Länder;2020;Dezember;...;...;...;...;...;...
__________;;;;;;;;
"Quelle: Bundesagentur für Arbeit, Nürnberg

Neue Länder: einschließlich Berlin.

Ab Januar 2005 sind die Daten über registrierte Arbeitslose
der Bundesagentur für Arbeit auf Grund der Zusammenlegung
von Arbeitslosen- und Sozialhilfe mit früheren Daten nicht
mehr vergleichbar. Beachten Sie bitte hierzu die
Informationen zur Arbeitsmarktstatistik der Bundesagentur
für Arbeit (Code: 13211).

Gemeldete Arbeitsstellen:
Ab Berichtsmonat Juli 2010 werden nur noch ungeförderte
Arbeitsstellen ausgewiesen. Die neue Abgrenzung steht ab
Januar 2000 zur Verfügung.";;;;;;;;
© Statistisches Bundesamt (Destatis), 2020;;;;;;;;
Stand: 19.06.2020 / 11:39:14;;;;;;;;
