Date,Close
1990-01,1814
1990-02,1855
1990-03,1885
1990-04,1893
1990-05,1856
1990-06,1849
1990-07,1927
1990-08,1697
1990-09,1507
1990-10,1453
1990-11,1425
1990-12,1471
1991-01,1373
1991-02,1510
1991-03,1545
1991-04,1591
1991-05,1633
1991-06,1693
1991-07,1624
1991-08,1624
1991-09,1630
1991-10,1580
1991-11,1596
1991-12,1555
1992-01,1647
1992-02,1700
1992-03,1733
1992-04,1733
1992-05,1764
1992-06,1777
1992-07,1696
1992-08,1548
1992-09,1539
1992-10,1475
1992-11,1518
1992-12,1511
1993-01,1555
1993-02,1647
1993-03,1687
1993-04,1659
1993-05,1621
1993-06,1677
1993-07,1796
1993-08,1896
1993-09,1895
1993-10,2017
1993-11,2046
1993-12,2170
1994-01,2165
1994-02,2123
1994-03,2128
1994-04,2212
1994-05,2217
1994-06,2065
1994-07,2094
1994-08,2165
1994-09,2112
1994-10,2039
1994-11,2069
1994-12,2063
1995-01,2054
1995-02,2101
1995-03,1995
1995-04,1981
1995-05,2071
1995-06,2128
1995-07,2186
1995-08,2242
1995-09,2257
1995-10,2163
1995-11,2200
1995-12,2270
1996-01,2380
1996-02,2433
1996-03,2474
1996-04,2521
1996-05,2517
1996-06,2555
1996-07,2519
1996-08,2542
1996-09,2600
1996-10,2695
1996-11,2763
1996-12,2851
1997-01,2965
1997-02,3196
1997-03,3357
1997-04,3337
1997-05,3580
1997-06,3727
1997-07,4161
1997-08,4191
1997-09,4044
1997-10,4078
1997-11,3824
1997-12,4133
1998-01,4284
1998-02,4575
1998-03,4915
1998-04,5254
1998-05,5403
1998-06,5726
1998-07,6003
1998-08,5388
1998-09,4747
1998-10,4345
1998-11,4833
1998-12,4770
1999-01,5140
1999-02,4960
1999-03,4878
1999-04,5183
1999-05,5217
1999-06,5293
1999-07,5461
1999-08,5203
1999-09,5309
1999-10,5320
1999-11,5786
1999-12,6354
2000-01,6915
2000-02,7524
2000-03,7812
2000-04,7354
2000-05,7180
2000-06,7184
2000-07,7192
2000-08,7221
2000-09,7027
2000-10,6721
2000-11,6814
2000-12,6477
2001-01,6560
2001-02,6462
2001-03,5917
2001-04,5963
2001-05,6155
2001-06,6025
2001-07,5840
2001-08,5438
2001-09,4372
2001-10,4577
2001-11,4949
2001-12,5074
2002-01,5151
2002-02,4894
2002-03,5323
2002-04,5199
2002-05,4939
2002-06,4427
2002-07,4002
2002-08,3687
2002-09,3230
2002-10,2967
2002-11,3226
2002-12,3117
2003-01,2921
2003-02,2611
2003-03,2491
2003-04,2790
2003-05,2922
2003-06,3179
2003-07,3336
2003-08,3446
2003-09,3506
2003-10,3498
2003-11,3722
2003-12,3866
2004-01,4077
2004-02,4064
2004-03,3921
2004-04,4036
2004-05,3869
2004-06,3986
2004-07,3883
2004-08,3760
2004-09,3909
2004-10,3963
2004-11,4108
2004-12,4216
2005-01,4246
2005-02,4344
2005-03,4357
2005-04,4293
2005-05,4329
2005-06,4569
2005-07,4726
2005-08,4886
2005-09,4946
2005-10,4951
2005-11,5092
2005-12,5343
2006-01,5493
2006-02,5762
2006-03,5861
2006-04,6010
2006-05,5845
2006-06,5495
2006-07,5594
2006-08,5750
2006-09,5901
2006-10,6161
2006-11,6368
2006-12,6492
2007-01,6692
2007-02,6913
2007-03,6705
2007-04,7237
2007-05,7581
2007-06,7874
2007-07,7888
2007-08,7463
2007-09,7638
2007-10,7950
2007-11,7715
2007-12,7941
2008-01,7323
2008-02,6886
2008-03,6499
2008-04,6762
2008-05,7056
2008-06,6716
2008-07,6341
2008-08,6421
2008-09,6135
2008-10,4946
2008-11,4691
2008-12,4657
2009-01,4534
2009-02,4265
2009-03,3969
2009-04,4519
2009-05,4886
2009-06,4930
2009-07,4949
2009-08,5395
2009-09,5583
2009-10,5680
2009-11,5642
2009-12,5836
2010-01,5863
2010-02,5586
2010-03,5965
2010-04,6215
2010-05,5966
2010-06,6080
2010-07,6061
2010-08,6122
2010-09,6214
2010-10,6436
2010-11,6744
2010-12,6991
2011-01,7039
2011-02,7294
2011-03,6952
2011-04,7227
2011-05,7330
2011-06,7158
2011-07,7292
2011-08,5923
2011-09,5402
2011-10,5896
2011-11,5826
2011-12,5867
2012-01,6278
2012-02,6789
2012-03,6966
2012-04,6731
2012-05,6424
2012-06,6184
2012-07,6549
2012-08,6949
2012-09,7274
2012-10,7286
2012-11,7238
2012-12,7576
2013-01,7747
2013-02,7666
2013-03,7913
2013-04,7723
2013-05,8317
2013-06,8089
2013-07,8161
2013-08,8332
2013-09,8497
2013-10,8809
2013-11,9170
2013-12,9235
2014-01,9516
2014-02,9507
2014-03,9339
2014-04,9489
2014-05,9709
2014-06,9927
2014-07,9751
2014-08,9273
2014-09,9638
2014-10,8971
2014-11,9490
2014-12,9812
2015-01,10138
2015-02,10977
2015-03,11784
2015-04,11956
2015-05,11599
2015-06,11236
2015-07,11288
2015-08,10817
2015-09,9953
2015-10,10222
2015-11,10986
2015-12,10673
2016-01,9827
2016-02,9291
2016-03,9859
2016-04,10023
2016-05,10010
2016-06,9859
2016-07,9960
2016-08,10530
2016-09,10504
2016-10,10624
2016-11,10595
2016-12,11214
2017-01,11620
2017-02,11745
2017-03,12047
2017-04,12232
2017-05,12661
2017-06,12710
2017-07,12397
2017-08,12153
2017-09,12479
2017-10,13012
2017-11,13159
2017-12,13079
2018-01,13270
2018-02,12459
2018-03,12165
2018-04,12411
2018-05,12911
2018-06,12667
2018-07,12581
2018-08,12458
2018-09,12185
2018-10,11659
2018-11,11359
2018-12,10834
2019-01,10968
2019-02,11280
2019-03,11542
2019-04,12067
2019-05,12079
2019-06,12164
2019-07,12406
2019-08,11719
2019-09,12285
2019-10,12538
2019-11,13200
2019-12,13193
2020-01,13370
2020-02,13330
2020-03,10034
2020-04,10374
2020-05,10993
2020-06,12351
